,user,id,lang,source,favorite_count,retweet_count,created_at
156,realmadrid,1647291194408329219,es,Twitter Media Studio,5504,289,2023-04-15 17:30:00+00:00
157,realmadrid,1647287418213605377,es,Twitter Media Studio,2278,144,2023-04-15 17:15:00+00:00
158,realmadrid,1647284561091371008,es,Twitter Web App,11476,1410,2023-04-15 17:03:39+00:00
159,realmadrid,1647283651439366147,es,TweetDeck,9776,442,2023-04-15 17:00:02+00:00
160,realmadrid,1647276094632910850,es,Twitter Media Studio,8346,611,2023-04-15 16:30:00+00:00
161,realmadrid,1647272318434181121,qme,Twitter Media Studio,3886,192,2023-04-15 16:15:00+00:00
162,realmadrid,1647268543505870850,es,TweetDeck,5533,342,2023-04-15 16:00:00+00:00
163,realmadrid,1647253448323223557,es,Twitter Media Studio,3805,227,2023-04-15 15:00:01+00:00
164,realmadrid,1647238356475211784,qme,TweetDeck,11188,487,2023-04-15 14:00:03+00:00
165,realmadrid,1647223245454692353,es,TweetDeck,2552,163,2023-04-15 13:00:00+00:00
166,realmadrid,1647216953793347584,qme,Twitter Media Studio,11457,519,2023-04-15 12:35:00+00:00
167,realmadrid,1647210403829809152,es,Twitter Media Studio,3457,224,2023-04-15 12:08:58+00:00
168,realmadrid,1647199337754050560,es,Twitter Media Studio,16045,574,2023-04-15 11:25:00+00:00
169,realmadrid,1647196821239005185,es,Twitter Media Studio,6043,286,2023-04-15 11:15:00+00:00
170,realmadrid,1647194305034084353,es,Twitter Media Studio,7759,333,2023-04-15 11:05:00+00:00
171,realmadrid,1647188013095739395,es,Twitter Media Studio,4970,312,2023-04-15 10:40:00+00:00
172,realmadrid,1647159983971405824,es,Twitter Media Studio,4607,287,2023-04-15 08:48:37+00:00
173,realmadrid,1647147757331705859,qme,TweetDeck,9838,422,2023-04-15 08:00:02+00:00
174,realmadrid,1647137681325936642,es,TweetDeck,10638,873,2023-04-15 07:20:00+00:00
175,realmadrid,1646966555467567116,qme,TweetDeck,8441,350,2023-04-14 20:00:00+00:00
176,realmadrid,1646951458439589889,qme,Twitter Media Studio,8892,317,2023-04-14 19:00:01+00:00
177,realmadrid,1646936355606507521,en,Twitter for Advertisers,9192,508,2023-04-14 18:00:00+00:00
178,realmadrid,1646928808451411969,es,Twitter Media Studio,5986,444,2023-04-14 17:30:01+00:00
179,realmadrid,1646921257294901248,qme,Twitter Media Studio,9190,393,2023-04-14 17:00:00+00:00
180,realmadrid,1646913838904745985,qme,Twitter Web App,1762,108,2023-04-14 16:30:32+00:00
181,realmadrid,1646906169242288129,es,Twitter Media Studio,7147,343,2023-04-14 16:00:03+00:00
182,realmadrid,1646898605838712833,qme,Twitter Media Studio,5083,228,2023-04-14 15:30:00+00:00
183,realmadrid,1646883507975725057,es,TweetDeck,7251,319,2023-04-14 14:30:00+00:00
184,realmadrid,1646868409702051840,qme,Twitter Media Studio,12149,460,2023-04-14 13:30:00+00:00
185,realmadrid,1646860863792373760,es,TweetDeck,20373,1029,2023-04-14 13:00:01+00:00
186,realmadrid,1646853307774672897,it,Twitter Media Studio,20740,1544,2023-04-14 12:30:00+00:00
187,realmadrid,1646848777779843073,es,TweetDeck,8235,690,2023-04-14 12:12:00+00:00
188,realmadrid,1646845761517125634,qme,TweetDeck,6868,374,2023-04-14 12:00:01+00:00
189,realmadrid,1646838210209939457,es,TweetDeck,17946,628,2023-04-14 11:30:00+00:00
190,realmadrid,1646831021021618176,es,Twitter Media Studio,2878,167,2023-04-14 11:01:26+00:00
191,realmadrid,1646822015557312513,es,Twitter Media Studio,2625,138,2023-04-14 10:25:39+00:00
192,realmadrid,1646820534108184581,qme,TweetDeck,9892,396,2023-04-14 10:19:46+00:00
193,realmadrid,1646802623369027584,es,Twitter Media Studio,2196,127,2023-04-14 09:08:36+00:00
194,realmadrid,1646778565159993344,es,Twitter Media Studio,10107,547,2023-04-14 07:33:00+00:00
195,realmadrid,1646762710829498368,qme,Twitter Media Studio,15505,424,2023-04-14 06:30:00+00:00
196,realmadrid,1646634372932464641,es,Twitter Media Studio,11567,655,2023-04-13 22:00:02+00:00
